Location name,Amount spent (HUF)
Baranya County,237697
Borsod-Abaúj-Zemplén County,335892
Budapest,1545216
Bács-Kiskun County,319713
Békés County,195303
Csongrád County,257830
Fejér County,277553
Győr-Moson-Sopron County,309161
Hajdú-Bihar County,302890
Heves County,165487
Jász-Nagykun-Szolnok County,210058
Komárom-Esztergom County,225570
Nógrád County,97465
Pest County,740084
Somogy County,175094
Szabolcs-Szatmár-Bereg County,282655
Tolna County,135169
Unknown,≤100
Vas County,166947
Veszprém County,201644
Zala County,174261
