Location name,Amount spent (CZK)
Central Bohemian Region,17141
Hradec Králové Region,7479
Karlovy Vary Region,4240
Liberec Region,6319
Moravian-Silesian Region,17205
Olomouc Region,8524
Pardubice Region,6859
Plzeň Region,8361
Prague,39733
South Bohemian Region,8243
South Moravian Region,21356
Unknown,≤100
Vysočina Region,7165
Zlín Region,7423
Ústí nad Labem Region,12477
