Location name,Amount spent (PYG)
Alto Paraguay Department,21044
Alto Paraná Department,1499605
Amambay Department,67555
Asunción,802352
Boquerón department,74766
Caaguazú Department,855805
Caazapá Department,74264
Canindeyú Department,171264
Central Department,1286098
Concepción Department (Paraguay),83762
Cordillera Department,136931
Guairá Department,197165
Itapúa Department,498171
Misiones Department,118727
Paraguarí Department,78284
Presidente Hayes Department,33623
San Pedro Department,130163
Unknown,≤100
Ñeembucú Department,190755
