Location name,Amount spent (INR)
Andaman and Nicobar Islands,199
Andhra Pradesh,64987
Arunachal Pradesh,893
Assam,12775
Bihar,32909
Chandigarh,2981
Chhattisgarh,22608
Dadra and Nagar Haveli,1324
Delhi,45757
Goa,4320
Gujarat,47434
Haryana,34862
Himachal Pradesh,13196
Jammu and Kashmir,10259
Jharkhand,12332
Karnataka,323296
Kerala,18743
Lakshadweep,≤100
Madhya Pradesh,65509
Maharashtra,165588
Manipur,1589
Meghalaya,2165
Mizoram,516
Nagaland,1434
Odisha,12529
Puducherry,918
Punjab region,29510
Rajasthan,116463
Sikkim,781
Tamil Nadu,32937
Telangana,58180
Tripura,2335
Unknown,≤100
Uttar Pradesh,81900
Uttarakhand,11280
West Bengal,50256
