Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1468570519872644,Santiago Peña,PRANA SA,4106317,29
102963512483270,PyElige,PY Elige,2755445,23
102917519228790,Bruno Defelippe,PautaPY,2632570,43
532716330164048,Sole Núñez,PautaPY,2176596,7
101684376194219,Se Van Paraguay,Solucionet Global,1808765,13
325540631525675,En La Tecla,En la Tecla,1800128,15
110447625137045,Pilar Callizo,PautaPY,1783989,4
196599783696918,Efrain Alegre,Comunicá,1607988,23
102266292553995,Sucia Política,Diego Ricardo Ramírez,1443872,21
241512319274531,Sixto Pereira,Sixto Pereira,1160893,3
102467002671611,Jorge Heisecke,Jorge Heisecke,1004567,17
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,872456,5
532716330164048,Sole Núñez,Sole Núñez,754984,34
647864758888200,Seba Garcia,Sebastian Garcia,670873,25
107104641909575,Rubén Rubin,Rubén Rubin,603208,4
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,552764,3
109626041763537,Natalicio Chase,Global Agencia,518566,7
153958777947957,Paulo Reichardt,Paulo Reichardt,426924,9
107706177740738,Periodismo 29,Periodismo 29,423850,1
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,366116,6
498022813689642,Oscar González Drakeford,Oscar González,359369,18
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,358938,12
1692624097481207,Mujeres GANAR,Mujeres GANAR,357153,109
483666425147964,Richard Ramirez,Richard Ramirez,347923,6
100959471597014,José Antonio Galeano,José Antonio Galeano,342935,14
105787598141250,Ever Rojas Borja,IMAGEN DE GOBIERNO,339939,11
943824938962084,Luis Fernando,Luis Fernando,325488,14
614795685343483,Belén Maldonado,Belén Maldonado,318756,8
100445112671378,Fernando Camacho Senador 2023,Fernando Camacho Senador 2023,301508,6
100188219465134,Senador Derlis Osorio,Derlis Ariel Alejandro Osorio Nunes,295891,6
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,293274,4
1753251591598763,Dani Mujica,Dani Mujica,269151,9
102109369350535,Christa Rivas,Christa Violeta Rivas Caballero,263023,3
303795153430459,Capitán Apodaca - Gobernador,Adventura,262237,7
103771265752808,Vysokolán,Stephan Vysokolán,243934,11
132554373464255,La Nación,La Nación,235248,12
266016903502005,Senador Carlos Gómez Zelada,Senador Carlos Gómez Zelada,231869,1
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,230853,9
1310731702357133,GEN,GEN,230366,3
724051717643013,Miguel Prieto,Miguel Prieto,223995,9
1547194582252394,Denis Lichi,Global Agencia,217696,4
196406677113756,Rafael Filizzola,Comunicá,216303,5
161156667809582,Leo Rubin,Leo Rubín,207466,3
517426394969535,Ricardo Canese,Ricardo Canese,201075,3
1856745507987901,Dr. Guillermo Rodriguez Duré,Douglas Mateus Hendges,199798,4
114061877001545,Víctor Pecci,PRANA SA,186648,2
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,179469,2
103681832340596,Kpeto Cano,Kpeto Cano,163311,4
106511610043389,Jorge Rolón Luna,Jorge Rolón Luna I,150754,2
103681832340596,Kpeto Cano,Eusebio Vera,148845,2
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,146002,2
112866004765581,Taurino González,Elias Escobar Fernández,134532,4
100778482648263,Cerini 2023,DGWorld Consultoría Digital,131945,4
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,123793,2
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,122318,4
120061519391875,César Paredes,César Paredes,121812,9
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,115551,3
102137945346781,Movimiento Ciudadanía Activa,Movimiento Ciudadanía Activa,115185,2
550298315040554,Marcelo Soto,Marcelo Soto,111164,11
106257452820864,Tito Saguier,PautaPY,110370,1
109779868441305,Gaby Russo - Diputada 2023,Maria Gabriela De Jesus Russo Yubero,109932,3
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,109907,1
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,107908,3
113713881663916,Guillermo Ferreiro,Estratégias de Comunicación,90404,2
108839041769929,José López,Hugo Alfonso Aquino Diaz,86444,5
114061877001545,Víctor Pecci,Esencia News SA,83312,1
121859950827147,Pedro Ferreira,Clelia Andrea Eloisa Balbuena Lomaquis,80538,1
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,77748,2
725834240910220,Noticiero Paraguay,Noticiero Paraguay,73522,4
397931417070426,Tony Apuril,ASP Marketing,68781,5
107378775349679,Rolando Alvarez Spinassi,Rolando Alvarez Spinassi,68275,7
107106825374681,Jesús Guapi,Jesús Fernando Guapi Narvaez,67838,8
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,67460,1
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,66458,4
290991131007241,Universidad Autónoma del Sur - Unasur (Oficial),Universidad Autónoma del Sur - Unasur (Oficial),61006,1
108246601026063,Derlis Rodríguez Diputado 2023,Derlis Manuel Rodríguez Baez,59571,3
108897622115536,Dra. Liliana Ferreira Benitez,Dra. Liliana Ferreira Benitez,58519,3
103114005868340,Rodrigo Rios Coronel,IMAGEN DE GOBIERNO,56417,2
102171848430562,Dr. Noguera 2023,Jacinto Rafael Noguera Arzamendia,54428,6
107956328706667,Sary Helman Diputada,Fabiana Marlene Cañete Helman,53712,1
101726857993140,Carlos Giménez  Senador,Carlos Giménez  Senador,51969,1
111531544527571,"Luis Silva, Gobernador","Luis Silva, Gobernador",49585,9
222961017827862,Edgar Olmedo,Edgar Olmedo,48890,5
495567100804506,Tito 2023,Federico Rafael Vergara Aguero,48645,2
2313390342074494,JOSE LIN Chicolin,JOSE LIN Chicolin,48287,3
109518664936707,Rubén Roussillón Diputado,Rubén Roussillón Diputado,46473,2
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,45552,1
2158618391031667,Najeeb Amado,Najeeb Amado,44530,1
102141339262288,Eligio Colmán,Mario Alberto Velázquez Duarte,43912,1
392501567470357,Martín Arévalo,Mario Martin Arevalo Fernandez,42697,1
184860595385745,Ing. Roberto Jiménez - Concejal,Roberto Fernando Jimenez Ayala,41850,2
105947518752311,Agustin Saguier,Agustin Saguier,41409,1
838018169889993,"Fernando ""Pato"" Ojeda",Fernando Ojeda,39439,7
100486612607448,César Cardozo Diputado 2023. Itapúa.,Claudio César Cardozo Junghanns,35894,2
106297212357807,José Colbes,José Colbes,35847,2
100333686133222,Evans Benitez Concejal Departamental,Evans Benitez Concejal Departamental,33813,1
102738046115595,Hernán Codas,Hernán Codas Jacquet,32908,1
100188219465134,Senador Derlis Osorio,Senador Derlis Osorio,31290,3
104302659010976,Ismael Rojas Concejal por Central 2023,Ismael Rojas,30660,2
102804492578710,Legalmente Hablando,Nueva Tecno,30158,2
106464064463863,Miryan Velázquez,politico.com.py,29898,1
