Location name,Amount spent (INR)
Andaman and Nicobar Islands,188
Andhra Pradesh,45458
Arunachal Pradesh,841
Assam,17902
Bihar,61815
Chandigarh,1979
Chhattisgarh,12158
Dadra and Nagar Haveli,782
Delhi,41655
Goa,4007
Gujarat,47707
Haryana,44633
Himachal Pradesh,17054
Jammu and Kashmir,12690
Jharkhand,16153
Karnataka,111896
Kerala,9845
Lakshadweep,≤100
Madhya Pradesh,53396
Maharashtra,122348
Manipur,1423
Meghalaya,190007
Mizoram,556
Nagaland,16239
Odisha,11220
Puducherry,904
Punjab region,38439
Rajasthan,99503
Sikkim,737
Tamil Nadu,34260
Telangana,60890
Tripura,59008
Unknown,≤100
Uttar Pradesh,108321
Uttarakhand,13616
West Bengal,51168
