Location name,Amount spent (JPY)
Aichi Prefecture,54474
Akita Prefecture,1384
Aomori Prefecture,2184
Chiba Prefecture,24187
Ehime Prefecture,3519
Fukui Prefecture,2260
Fukuoka Prefecture,49633
Fukushima Prefecture,3515
Gifu Prefecture,4169
Gunma Prefecture,3904
Hiroshima Prefecture,8116
Hokkaido,12709
Hyōgo Prefecture,17927
Ibaraki Prefecture,6082
Ishikawa Prefecture,3184
Iwate Prefecture,2356
Kagawa Prefecture,2535
Kagoshima Prefecture,2950
Kanagawa Prefecture,47222
Kumamoto Prefecture,4512
Kyoto Prefecture,16332
Kōchi Prefecture,1824
Mie Prefecture,4110
Miyagi Prefecture,12596
Miyazaki Prefecture,2739
Nagano Prefecture,5827
Nagasaki Prefecture,4446
Nara Prefecture,3967
Niigata Prefecture,4401
Okayama Prefecture,5200
Okinawa Prefecture,5811
Osaka Prefecture,31147
Saga Prefecture,3082
Saitama Prefecture,20842
Shiga Prefecture,3778
Shimane Prefecture,1451
Shizuoka Prefecture,11483
Tochigi Prefecture,4054
Tokushima Prefecture,1814
Tokyo,108454
Tottori Prefecture,986
Toyama Prefecture,2062
Unknown,≤100
Wakayama Prefecture,2073
Yamagata Prefecture,1904
Yamaguchi Prefecture,2948
Yamanashi Prefecture,2231
Ōita Prefecture,5284
