Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,8982,61
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,4157,6
219091481560790,מרים פיירברג - איכר,נתניה אחת,2963,2
107217383988190,מגזין אפוק,Epoch Magazine,2700,15
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,2031,6
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1825,4
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,1600,10
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1186,17
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,1063,6
104346612722418,יוסי פרי לראשות עיריית הרצליה,יוסי פרי לראשות עיריית הרצליה,1056,13
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,992,6
266097474067652,בני גנץ - Benny Gantz,מפלגת כחול לבן,987,2
1073548259341247,לובי 99,לובי 99,980,6
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",949,52
204780362875106,מקור ראשון,מקור ראשון,899,49
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,866,34
112848572066805,מחאת ההייטק,מחאת ההייטק,850,12
115456451553737,יונה יהב,יונה יהב,826,6
103907495935157,צו חירום,צו חירום,807,2
117658294683078,ישראלTop5,top5israel,778,5
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,751,37
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,707,2
615531405455497,הדר לביא,הדר לביא,612,21
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,609,2
790149967713981,דרכנו,דרכנו,567,3
662721113760589,TheMarker Labels,TheMarker Labels,567,5
113257552029689,Israel Police - משטרת ישראל,Israel Police,562,1
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,514,20
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,512,13
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,510,11
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,500,24
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,498,5
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,489,46
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,487,17
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,485,9
512355185513534,ראש העיר מיכאל וידל,ראש העיר מיכאל וידל,469,2
159416337497662,Nir Barkat - ניר ברקת,Nir Barkat - ניר ברקת,465,4
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,462,3
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,459,1
246697465679718,עומר רצון - לראשות העיר ראש העין,עומר רצון - לראשות העיר ראש העין,449,4
108979322204008,יוסי דגן - yosi dagan,יוסי דגן - yosi dagan,387,2
110666185245278,יעלה - דרך חדשה לראשות מ.א. מגידו,יעלה - דרך חדשה לראשות מ.א. מגידו,384,2
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,382,2
975710572458134,عايدة توما-سليمان עאידה תומא-סלימאן,عايدة توما-سليمان עאידה תומא-סלימאן,367,6
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,366,5
321795461283120,גנאדי בורשבסקי,גנאדי בורשבסקי,363,4
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,355,3
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,343,3
638721842824344,עליזה בלוך,עליזה בלוך,337,6
105934298594064,יוסי כהן - Yossi Cohen,יוסי כהן - Yossi Cohen,335,5
433529446712013,Ayman Odeh - أيمن عودة,Ayman Odeh - أيمن عودة,332,2
115411601520704,מיכל עוזיהו לראשות המועצה האזורית  אשכול,מיכל פלג עוזיהו,332,11
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,331,8
107863545666861,"עו""ד נתנאל בן יוסף אחרק",נתנאל אחרק,330,1
