Location name,Amount spent (SEK)
Blekinge County,4646
Dalarna County,9092
Gotland County,2121
Gävleborg County,9526
Halland County,9188
Jämtland County,4117
Jönköping County,10619
Kalmar County,6885
Kronoberg County,5363
Norrbotten County,8722
Skåne County,43903
Stockholm County,74281
Södermanland County,9109
Unknown,≤100
Uppsala County,12128
Värmland County,8518
Västerbotten County,8275
Västernorrland County,8272
Västmanland County,8615
Västra Götaland County,62368
Örebro County,9323
Östergötland County,14025
