Location name,Amount spent (CLP)
Antofagasta Region,116548
Araucanía Region,104185
Arica y Parinacota Region,50167
Atacama Region,50743
Aysén Region,16002
Bío Bío Region,320349
Coquimbo Region,171623
Los Lagos Region,114844
Los Ríos Region,51912
Magallanes y la Antártica Chilena Region,24700
Maule Region,117843
O'Higgins Region,132595
Santiago Metropolitan Region,1318428
Tarapacá Region,67201
Unknown,≤100
Valparaíso Region,267176
