Location name,Amount spent (HTG)
Artibonite Department,202
Centre Department,≤100
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,174
Nord-Est Department,≤100
Nord-Ouest Department,160
Ouest Department,932
Sud Department,≤100
Sud-Est Department,≤100
