Location name,Amount spent (PLN)
Greater Poland Voivodeship,5139
Kuyavian-Pomeranian Voivodeship,3461
Lesser Poland Voivodeship,4916
Lower Silesian Voivodeship,4466
Lublin Voivodeship,2010
Lubusz Voivodeship,1380
Masovian Voivodeship,11575
Opole Voivodeship,984
Podkarpackie Voivodeship,1840
Podlaskie Voivodeship,1216
Pomeranian Voivodeship,3742
Silesian Voivodeship,5384
Unknown,≤100
Warmian-Masurian Voivodeship,1464
West Pomeranian Voivodeship,2378
Łódź Voivodeship,3446
Świętokrzyskie Voivodeship,1215
