Location name,Amount spent (SEK)
Blekinge County,4253
Dalarna County,8930
Gotland County,2066
Gävleborg County,9190
Halland County,8197
Jämtland County,4466
Jönköping County,9589
Kalmar County,6446
Kronoberg County,4875
Norrbotten County,8438
Skåne County,40019
Stockholm County,76651
Södermanland County,8454
Unknown,≤100
Uppsala County,11654
Värmland County,8256
Västerbotten County,8844
Västernorrland County,7868
Västmanland County,7333
Västra Götaland County,48821
Örebro County,8405
Östergötland County,12582
