Location name,Amount spent (PYG)
Alto Paraguay Department,17277
Alto Paraná Department,151877
Amambay Department,23400
Asunción,200482
Boquerón department,8340
Caaguazú Department,87343
Caazapá Department,15553
Canindeyú Department,22405
Central Department,684905
Concepción Department (Paraguay),31861
Cordillera Department,42893
Guairá Department,24535
Itapúa Department,68969
Misiones Department,164745
Paraguarí Department,29413
Presidente Hayes Department,13755
San Pedro Department,31823
Unknown,≤100
Ñeembucú Department,14335
