Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
100132752831088,Natalia López Fuentes,Natalia López Fuentes,2136467,18
1059459884138781,Mauricio Tobón Franco.,Minuto 30 S.A.S.,2010583,8
162949777243451,Andrés Julián,Andrés Julián Rendon,1826320,16
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,1473123,11
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,1262838,18
1649204585296525,Juan David Valderrama,Juan David Valderrama,1255491,18
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,1195534,12
266563730155332,Juan Diego Gomez Jimenez,Juan Diego Gomez Jimenez,1097013,1
381403022031226,Steven Cárdenas,Steven Cárdenas,1000000,19
103754197881668,Esteban Restrepo,Esteban Restrepo,990010,3
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,946602,10
100364727989389,Said Bitar,Said Bitar,878963,11
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro Torres,781628,16
251292808253299,Canadian College,Canadian College,637033,19
601336570076276,Rodolfo Correa,Rodolfo Correa,498485,1
1586264924948495,Diego Gonzalez,Diego Gonzalez,473996,2
112155252163421,Sebastián López V.,Sebastián López V.,378133,4
446035012834131,Tata Hernández,Tata Hernández,343886,3
100240736764836,Alcaldía de Palmira,Alcaldía de Palmira,337458,16
906104439492802,Daniel Duque Velásquez.,Daniel Duque Velásquez.,295902,2
110260770340343,Leonardo Jácome,Leonardo Jácome,274982,6
281475481867946,Jaime Raul Salamanca,Jaime Raul Salamanca,267788,1
106653449039325,Juan Gabriel Baca,Juan Gabriel Baca,266211,2
100397975380528,Amigos de Dumek,Amigos de Dumek,265228,5
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,257856,5
437554710309705,Jesús Sepúlveda Bermonth / Concejal de Cúcuta 2021-2023,Jesús Sepúlveda Bermonth / Concejal de Cúcuta 2021-2023,253224,9
639873283045748,Andrés Felipe Moncayo Zapata,Andrés Felipe Moncayo Zapata,248496,5
115922544823271,Miyerlandi Torres A,Miyerlandi Torres A,246712,26
497475647076975,Fabian Oviedo,Fabian Oviedo,234602,47
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,233776,1
1643303432550207,Gustavo Vélez,Gustavo Vélez,224404,17
43880852708,Amnistía Internacional Américas,These ads ran without a disclaimer,220621,1
170459019785694,Secretaría de las Mujeres de Antioquia,Secretaría de las Mujeres de Antioquia,210485,6
101337536877032,William Garcia Tirado,William Garcia Tirado,205183,5
102649172879833,Colombia al Día,Colombia al Día,203562,47
834788683237384,William Villamizar Laguado,William Villamizar Laguado,203562,4
590428924681421,Soydiegotamayo,Soydiegotamayo,203562,5
100637473120318,Orden y libertad,Orden y libertad,203562,12
118514924593739,Tanque Seco,Tanque seco,203562,23
112602178102955,Victorioso,Victorioso,199708,4
1589652347763879,Aquileo Medina A,Aquileo Medina A,199291,1
355010161359454,León Mario Bedoya López,León Mario Bedoya López,198222,3
101579918024961,Johana Aranda,Johana Aranda,194810,4
105788042199348,James Urrego,James Urrego,193588,11
2331644750286544,Página: Alex Giraldo,Página: Alex Giraldo,190121,8
101391859627743,Colombia sin miedo,Colombia sin miedo,186397,21
230741350353405,Alcaldía de Rionegro,Alcaldía de Rionegro,180959,2
1535486953389914,Emerson Meneses Gonzalez,Emerson Meneses Gonzalez,178808,6
307701289662624,Carlos Fernando Motoa Solarte,Carlos Fernando Motoa Solarte,167192,2
103728686142815,Jairo Cespedes C.,Respuesta Social,164176,1
118750554556152,La Voz Política,La Voz Política,163390,12
133787883971402,Oscar Ramírez VAHOS,Oscar Ramírez VAHOS,162839,4
102383079246422,Paulo Gómez,Paulo Gómez,157064,2
489327244878254,Carlos Parra,Carlos Parra,157000,6
969143216462972,Felipe Cañizalez,Felipe Cañizalez,156326,2
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro,156105,88
107405449071319,Con la suya,Con la suya,155394,17
104046148916576,Patricia de Hernandez,Patricia de Hernandez,151934,14
334701999906645,Horacio José Serpa,Horacio José Serpa,145346,30
838927469815494,Diana Diago,Diana Diago,143599,22
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,140003,1
1856466104668553,Rigoberto Lasso Balanta,Rigoberto Lasso Balanta,136593,2
213474956085296,Diomara García Serrano,Diomara García Serrano,136572,8
451588681677173,Eduardo Contreras R,Eduardo Contreras R,136157,10
553585915161201,Jhon Molina Putumayo,Jhon Molina Putumayo,135299,21
1953017374955460,Nelson Barrera Roa,Nelson Barrera Roa,134264,1
107269324429951,Víctor Ramos,Víctor Ramos,133185,111
257401965136834,Carlos Marroquín,Carlos Marroquín,133132,3
345288946007447,Juan Diego Patiño Ochoa,Juan Diego Patiño Ochoa,131886,9
183025852044152,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,131239,13
190329117687781,Ricardo Lopez,Ricardo Lopez,130536,3
100862467976065,Andrés Fandiño,Andrés Fandiño,124168,8
454396071316750,Mauricio Salazar,Mauricio Salazar,123296,2
101642839569704,Javier Marulanda,Dr Javier Marulanda,122644,2
107017744311772,Carlos Alberto Arias,Carlos Alberto Arias,120417,3
1143527682469594,El Colombiano Parce,El Colombiano Parce,119076,2
111136554742486,Karen Manrique,Karen Manrique,118299,7
629265973883892,Alcaldía de La Estrella,Alcaldía de La Estrella,117020,9
1147318942107929,Todos Somos Una,DEBRAIN LLC,116158,4
996217960453678,Crezcamos Juntos Caquetá,Crezcamos Juntos Caquetá,113199,10
168743617253,Greenpeace Colombia,Greenpeace Colombia,112977,6
1383605158583178,Chicho Avanzando Ando,Chicho Avanzando Ando,111627,3
2341225942579432,Edwin Marin,Edwin Marin,106006,5
113661078464726,Dagoberto Marín - Neiva el futuro es hoy,Construespacios,105999,3
482002058626250,Surany Arboleda Arias,Surany Arboleda Arias,105346,6
336711793710254,Metro de Bogotá,Metro de Bogotá,102810,1
1505617719679277,César Zorro Casanare,César Zorro Casanare,100538,4
108233262091178,David Islem R,David Islem R,99248,2
218937054791364,Juan Jiménez Lara,Juan Jiménez Lara,99034,4
397128917143999,Roberto Jiménez Dosquebradas,Roberto Jiménez Dosquebradas,98652,1
115493108248743,Emiro Arias,Emiro Arias,98432,3
289149121873080,Samuel Álvarez,Samuel Álvarez,97274,1
113783978308860,Octavio Guzmán,Octavio Guzmán,96494,9
1387946517884556,JOSE CRUZ,JOSE CRUZ,96406,2
266563730155332,Juan Diego Gomez Jimenez,Get Social,96264,1
139350346265115,Secretaría de Educación de Antioquia,Secretaría de Educación de Antioquia,95732,1
286568181368830,Jhon Ortega,Jhon Ortega,93698,3
112862045072151,Jhair Manrique,Jhair Manrique,92478,2
110036132129269,Alerta Noticias,Alerta Noticias,89685,9
256488875025665,Juan Bocanegra,Juan Bocanegra,89241,1
1458739367777443,Wilson Gonzalez Piedecuesta,Wilson Gonzalez Piedecuesta,88610,4
129340816734877,Consuelo berraca,Consuelo berraca,88595,2
184284351706738,Lotería de Bogotá,Lotería de Bogotá,87777,2
309383129136101,Secretaría Gobierno de Bogotá,Secretaría Gobierno de Bogotá,87426,7
