Location name,Amount spent (GTQ)
Alta Verapaz Department,630
Baja Verapaz Department,144
Chimaltenango Department,376
Chiquimula Department,307
El Progreso Department,128
Escuintla Department,881
Guatemala Department,9214
Huehuetenango Department,516
Izabal Department,445
Jalapa Department,207
Jutiapa Department,314
Petén Department,323
Quetzaltenango Department,983
Quiché Department,368
Retalhuleu Department,250
Sacatepéquez Department,454
San Marcos Department,1401
Santa Rosa Department,234
Sololá Department,235
Suchitepéquez Department,371
Totonicapán Department,223
Unknown,≤100
Zacapa Department,205
