Location name,Amount spent (PLN)
Greater Poland Voivodeship,3579
Kuyavian-Pomeranian Voivodeship,1702
Lesser Poland Voivodeship,2747
Lower Silesian Voivodeship,2273
Lublin Voivodeship,1439
Lubusz Voivodeship,710
Masovian Voivodeship,6781
Opole Voivodeship,652
Podkarpackie Voivodeship,1329
Podlaskie Voivodeship,814
Pomeranian Voivodeship,1989
Silesian Voivodeship,3334
Unknown,≤100
Warmian-Masurian Voivodeship,1067
West Pomeranian Voivodeship,1603
Łódź Voivodeship,2005
Świętokrzyskie Voivodeship,772
