Location name,Amount spent (IDR)
Aceh,763686
Bali,1102634
Bangka–Belitung Islands,303609
Banten,2474428
Bengkulu,588158
Central Java,5253366
Central Kalimantan,607475
Central Sulawesi,706056
East Java,6366832
East Kalimantan,1347465
East Nusa Tenggara,1170474
Gorontalo,575760
Jakarta,3301547
Jambi,724356
Lampung,1144989
Maluku,572380
North Kalimantan,222082
North Maluku,437922
North Sulawesi,1470425
North Sumatra,5806481
Papua (province),662724
Riau,2593118
Riau Islands Province,763493
South Kalimantan,676395
South Sulawesi,1751911
South Sumatra,2173125
Southeast Sulawesi,624475
Special Region of Yogyakarta,611746
Unknown,1490
West Java,11144384
West Kalimantan,1358253
West Nusa Tenggara,1426930
West Papua,381975
West Sulawesi,355520
West Sumatra,903862
