Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,550
Cerro Largo Department,≤100
Colonia Department,545
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,148
Montevideo Department,14776
Paysandú Department,5472
Rivera Department,≤100
Rocha Department,≤100
Río Negro Department,151
Salto Department,202
San José Department,≤100
Soriano Department,302
Tacuarembó Department,≤100
Treinta y Tres Department,265
Unknown,≤100
