Location name,Amount spent (IDR)
Aceh,888072
Bali,2041456
Bangka–Belitung Islands,433570
Banten,2472518
Bengkulu,874763
Central Java,8260233
Central Kalimantan,901904
Central Sulawesi,952309
East Java,8949299
East Kalimantan,2077289
East Nusa Tenggara,2254023
Gorontalo,541473
Jakarta,5410524
Jambi,1127102
Lampung,2076645
Maluku,716666
North Kalimantan,344773
North Maluku,554528
North Sulawesi,1478132
North Sumatra,3829591
Papua (province),774200
Riau,1918537
Riau Islands Province,964629
South Kalimantan,1224635
South Sulawesi,3445142
South Sumatra,2092088
Southeast Sulawesi,761642
Special Region of Yogyakarta,1338189
Unknown,449
West Java,9348771
West Kalimantan,1724418
West Nusa Tenggara,1349561
West Papua,433603
West Sulawesi,404504
West Sumatra,1383568
