Location name,Amount spent (MYR)
Johor,1225
Kedah,315
Kelantan,226
Kuala Lumpur,592
Labuan,≤100
Malacca,158
Negeri Sembilan,170
Pahang,298
Penang,229
Perak,276
Perlis,≤100
Putrajaya,≤100
Sabah,336
Sarawak,245
Selangor,1154
Terengganu,253
Unknown,≤100
