Location name,Amount spent (DKK)
Capital Region of Denmark,36402
Central Denmark Region,18298
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8384
Region of Southern Denmark,16875
Unknown,≤100
Zealand Region,13531
