Location name,Amount spent (CZK)
Central Bohemian Region,11091
Hradec Králové Region,4533
Karlovy Vary Region,2309
Liberec Region,3576
Moravian-Silesian Region,9606
Olomouc Region,5231
Pardubice Region,3938
Plzeň Region,5321
Prague,24365
South Bohemian Region,5929
South Moravian Region,11739
Unknown,≤100
Vysočina Region,3574
Zlín Region,4613
Ústí nad Labem Region,6614
