Location name,Amount spent (PLN)
Greater Poland Voivodeship,5084
Kuyavian-Pomeranian Voivodeship,2892
Lesser Poland Voivodeship,5061
Lower Silesian Voivodeship,3860
Lublin Voivodeship,2355
Lubusz Voivodeship,1377
Masovian Voivodeship,9348
Opole Voivodeship,1122
Podkarpackie Voivodeship,2436
Podlaskie Voivodeship,1340
Pomeranian Voivodeship,3293
Silesian Voivodeship,5457
Unknown,≤100
Warmian-Masurian Voivodeship,1761
West Pomeranian Voivodeship,2704
Łódź Voivodeship,3188
Świętokrzyskie Voivodeship,1401
