Location name,Amount spent (LBP)
Beirut Governorate,2798058
Beqaa Governorate,937930
Mount Lebanon Governorate,1690231
Nabatieh Governorate,430170
North Governorate,1604998
South Governorate,631579
Unknown,≤100
