Location name,Amount spent (HUF)
Baranya County,113434
Borsod-Abaúj-Zemplén County,155772
Budapest,910350
Bács-Kiskun County,131528
Békés County,91203
Csongrád County,137322
Fejér County,125180
Győr-Moson-Sopron County,125766
Hajdú-Bihar County,156542
Heves County,85000
Jász-Nagykun-Szolnok County,90620
Komárom-Esztergom County,95923
Nógrád County,45004
Pest County,379529
Somogy County,79675
Szabolcs-Szatmár-Bereg County,135613
Tolna County,57628
Unknown,≤100
Vas County,78077
Veszprém County,103510
Zala County,93189
