Location name,Amount spent (ZAR)
Eastern Cape,449
Free State,419
Gauteng,1651
KwaZulu-Natal,877
Limpopo,535
Mpumalanga,267
North West,179
Northern Cape,≤100
Unknown,≤100
Western Cape,1019
