Location name,Amount spent (UYU)
Artigas Department,177
Canelones Department,697
Cerro Largo Department,176
Colonia Department,299
Durazno Department,129
Flores Department,≤100
Florida Department,132
Lavalleja Department,165
Maldonado Department,342
Montevideo Department,3251
Paysandú Department,221
Rivera Department,682
Rocha Department,135
Río Negro Department,≤100
Salto Department,395
San José Department,141
Soriano Department,146
Tacuarembó Department,174
Treinta y Tres Department,132
Unknown,≤100
