Location name,Amount spent (AUD)
Australian Capital Territory,1080
Jervis Bay Territory,≤100
New South Wales,48815
Northern Territory,490
Queensland,10870
South Australia,5378
Tasmania,1184
Unknown,≤100
Victoria,13174
Western Australia,5375
