Location name,Amount spent (NZD)
Auckland Region,3976
Bay of Plenty Region,674
Canterbury,1322
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,324
Manawatu-Wanganui,529
Marlborough Region,≤100
Nelson Province,167
Niue,≤100
Northland Region,370
Otago,597
Southland,188
Taranaki,325
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,1135
Wellington Region,1143
West Coast,≤100
