Location name,Amount spent (MYR)
Johor,1215
Kedah,251
Kelantan,156
Kuala Lumpur,435
Labuan,≤100
Malacca,≤100
Negeri Sembilan,132
Pahang,235
Penang,206
Perak,274
Perlis,≤100
Putrajaya,≤100
Sabah,308
Sarawak,354
Selangor,733
Terengganu,146
Unknown,≤100
