Location name,Amount spent (COP)
Amazonas,1218
Antioquia,10717951
Arauca,32607
Atlantico,451515
Bolivar,180922
Boyaca,816438
Caldas,514363
Caqueta,102707
Casanare,302196
Cauca,224570
Cesar,57244
Choco,18400
Cordoba,245876
Cundinamarca,441145
Distrito Especial,3474354
Guainia,26588
Guaviare,14447
Huila,482831
La Guajira,38962
Magdalena,918583
Meta,717385
Narino,116415
Norte de Santander,904672
Putumayo,222284
Quindio,124828
Risaralda,805340
San Andres y Providencia,4784
Santander,2784053
Sucre,309150
Tolima,487552
Unknown,165
Valle del Cauca,3479367
Vaupes,400
Vichada,1586
