Location name,Amount spent (ISK)
Capital Region,61930
Eastern Region,2480
Northeastern Region,5821
Northwestern Region,1236
Southern Peninsula,7159
Southern Region,6398
Unknown,≤100
Western Region,1261
Westfjords,1297
