Location name,Amount spent (USD)
Azuay Province,1349
Bolívar Province,147
Carchi Province,114
Cañar Province,255
Chimborazo Province,395
Cotopaxi Province,291
El Oro Province,1220
Esmeraldas Province,462
Galápagos Province,≤100
Guayas Province,4440
Imbabura Province,425
Loja Province,474
Los Ríos Province,930
Manabí Province,2353
Morona-Santiago Province,198
Napo Province,102
Orellana Province,125
Pastaza Province,128
Pichincha Province,3950
Santa Elena Province,381
Santo Domingo de los Tsáchilas Province,1153
Sucumbíos Province,184
Tungurahua Province,962
Unknown,≤100
Zamora-Chinchipe Province,192
