Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,7849,59
175285029214345,הציונות הדתית,ציונות דתית,4744,10
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,4235,15
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,3297,6
102548956115520,תקומה 23 - להיות עם יהודי בארצנו,תורת לחימה,2351,4
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,2105,12
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1996,16
500238833397356,ציפי ברנד,ציפי ברנד,1918,29
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,1891,8
849824028408565,תנועת אם תרצו,תנועת אם תרצו,1700,42
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,1556,9
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,1519,4
1073548259341247,לובי 99,לובי 99,1432,7
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,1349,8
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,1300,49
313229072156432,ארקדי פומרנץ - Arkady Pomeranz,ארקדי פומרנץ - Arkady Pomeranz,1294,5
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,1229,2
115456451553737,יונה יהב,יונה יהב,1167,7
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,1165,2
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,1115,4
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",959,20
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,945,37
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,936,3
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,803,2
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,800,1
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,781,16
1662907067255622,איגוד הגז הטבעי,Unik,767,4
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",749,15
114201461733889,"מיכאל וידל- ראש עיריית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,745,2
100303966345061,בין חברים - מגזין קיבוצי עצמאי,בין חברים - מגזין קיבוצי עצמאי,703,5
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,672,2
204780362875106,מקור ראשון,מקור ראשון,636,48
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,574,2
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,564,3
108212852272431,ג'קי יעקב צבי,יעקב ג'קי צבי לראשות המועצה,561,4
104222621115858,הביטחוניסטים,הביטחוניסטים,540,14
117177111377152,Шломи Лахьяни,שלומי לחיאני,533,1
189543984502825,משה קונינסקי,משה קונינסקי,520,3
109242871232111,מתן בארי,מתן בארי,497,2
117658294683078,ישראלTop5,top5israel,487,4
124191360932729,התעוררות בירושלים,התעוררות בירושלים,482,18
143563882388180,עיריית אשקלון,עיריית אשקלון,460,5
