Location name,Amount spent (JPY)
Aichi Prefecture,9965
Akita Prefecture,1261
Aomori Prefecture,2137
Chiba Prefecture,7971
Ehime Prefecture,2283
Fukui Prefecture,1113
Fukuoka Prefecture,35480
Fukushima Prefecture,2811
Gifu Prefecture,2693
Gunma Prefecture,2200
Hiroshima Prefecture,5638
Hokkaido,6419
Hyōgo Prefecture,8814
Ibaraki Prefecture,3972
Ishikawa Prefecture,1591
Iwate Prefecture,1310
Kagawa Prefecture,1565
Kagoshima Prefecture,4951
Kanagawa Prefecture,16792
Kumamoto Prefecture,5771
Kyoto Prefecture,4716
Kōchi Prefecture,824
Mie Prefecture,2189
Miyagi Prefecture,7960
Miyazaki Prefecture,1471
Nagano Prefecture,2813
Nagasaki Prefecture,3377
Nara Prefecture,2014
Niigata Prefecture,2276
Okayama Prefecture,2091
Okinawa Prefecture,4040
Osaka Prefecture,14876
Saga Prefecture,2730
Saitama Prefecture,10353
Shiga Prefecture,2008
Shimane Prefecture,935
Shizuoka Prefecture,4585
Tochigi Prefecture,2517
Tokushima Prefecture,1144
Tokyo,34143
Tottori Prefecture,584
Toyama Prefecture,1586
Unknown,≤100
Wakayama Prefecture,1274
Yamagata Prefecture,1979
Yamaguchi Prefecture,1901
Yamanashi Prefecture,1123
Ōita Prefecture,2786
