Location name,Amount spent (IDR)
Aceh,3353762
Bali,2441454
Bangka–Belitung Islands,892844
Banten,5456473
Bengkulu,1332342
Central Java,13118716
Central Kalimantan,1281075
Central Sulawesi,1718835
East Java,11182158
East Kalimantan,3453175
East Nusa Tenggara,2733521
Gorontalo,1301355
Jakarta,16528282
Jambi,1989622
Lampung,6346884
Maluku,1945971
North Kalimantan,732541
North Maluku,813898
North Sulawesi,4112321
North Sumatra,6452016
Papua (province),1118992
Riau,2809777
Riau Islands Province,1916951
South Kalimantan,1479848
South Sulawesi,6889052
South Sumatra,6933634
Southeast Sulawesi,1407337
Special Region of Yogyakarta,1890232
Unknown,17903
West Java,20087554
West Kalimantan,2677360
West Nusa Tenggara,1892908
West Papua,800197
West Sulawesi,959294
West Sumatra,3297163
