Location name,Amount spent (USD)
Alabama,8028
Alaska,4566
American Samoa,≤100
Arizona,21299
Arkansas,5179
California,79223
Colorado,14006
Connecticut,7432
Delaware,2104
Florida,51373
Georgia,21469
Guam,258
Hawaii,3407
Idaho,5663
Illinois,30808
Indiana,14991
Iowa,6235
Kansas,6523
Kentucky,7915
Louisiana,9446
Maine,3560
Maryland,16793
Massachusetts,18148
Michigan,24096
Minnesota,10510
Mississippi,4613
Missouri,15138
Montana,2121
Nebraska,3042
Nevada,6779
New Hampshire,3288
New Jersey,18274
New Mexico,5338
New York,47259
North Carolina,21428
North Dakota,1323
Northern Mariana Islands,≤100
Ohio,26545
Oklahoma,9143
Oregon,14531
Pennsylvania,26916
Puerto Rico,≤100
Rhode Island,2016
South Carolina,8599
South Dakota,1460
Tennessee,15279
Texas,65917
Unknown,≤100
Utah,5958
Vermont,2017
Virgin Islands (U.S.),≤100
Virginia,21309
Washington,18230
"Washington, District of Columbia",9031
West Virginia,4320
Wisconsin,17533
Wyoming,1101
