Location name,Amount spent (COP)
Amazonas,2127
Antioquia,3634420
Arauca,16610
Atlantico,787953
Bolivar,164800
Boyaca,368649
Caldas,92128
Caqueta,77496
Casanare,156681
Cauca,309999
Cesar,111278
Choco,24462
Cordoba,280930
Cundinamarca,409882
Distrito Especial,4259811
Guainia,1384
Guaviare,56205
Huila,162578
La Guajira,274053
Magdalena,301016
Meta,607047
Narino,147304
Norte de Santander,244393
Putumayo,75564
Quindio,159095
Risaralda,419176
San Andres y Providencia,6141
Santander,555084
Sucre,122791
Tolima,449250
Unknown,6680
Valle del Cauca,4274813
Vaupes,371
Vichada,1429
