Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
364916637463104,Unión por la Patria,Unión por la Patria,2680221,15
110568602036048,Córdoba La Número 1,Córdoba La Número 1,2427388,104
110767322072387,Levantemos Argentina,Levantemos Argentina,2249611,27
148539931942743,Rodrigo de Loredo,Rodrigo de Loredo,1850992,16
114068991740731,Daniel Passerini 2023,Hacemos Unidos por Córdoba,1296473,61
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio,1024134,249
171330806277312,Diego Santilli,Juntos por el Cambio,747858,110
102086362955693,Hacemos,Hacemos,644600,14
120527421023470,Despierta Chubut,Despierta Chubut,489443,108
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,459384,20
101023709706410,Soñemos en Grande,Soñemos en Grande,455570,45
108401558977853,Hacemos por Nuestro País,Hacemos por Nuestro País,432224,7
206515872752040,Info-DINE,Secretaría de Medios y Comunicación Pública,366948,54
106449905849575,Seguimos Haciendo,PJ Catamarca,345744,15
20906273675,Greenpeace Argentina,Greenpeace Argentina,335382,8
169481676449081,Adán Bahl,PJ Entre Ríos,327100,15
1013551608722206,Juan Pablo Quinteros,Somos Córdoba,301304,35
115565384894194,Informe 247,Informe 247,297785,24
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,253025,12
525334380868858,Martín Lousteau,Juntos por el Cambio - Capital Federal,228947,19
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,217779,18
114158455004055,Arriba Chubut,Arriba Chubut,205947,7
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,193937,123
181701801980107,Daniel Passerini,Daniel Passerini,193887,23
161768683835555,Municipio de La Matanza,Municipio de La Matanza,179272,29
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,167544,79
108679841853325,Contame Más,Contame Más,162723,53
139780689504552,Frente de Izquierda,Frente de Izquierda,160365,46
958750317533178,Manuela Castañeira,Nuevo MAS,153062,24
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,147065,14
171947460298026,Macarena Posse,San Isidro Juntos,133579,19
442074085928723,Raúl Jalil,Raúl Jalil,133117,2
131381938371647,Corta La Bocha Noticias,Corta La Bocha,128956,44
688001708286948,Juan Pablo Luque,Juan Pablo Luque,126653,3
100615406447198,Una Argentina Distinta,Una Argentina distinta,126394,5
605540860101596,Diario Criollo,Diario Criollo,118598,44
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,106354,8
1567551246808899,Laura Vilches,Frente de Izquierda,104578,10
111669735076988,Hora Cero,Hora Cero Noticias,100956,39
1525482941081445,Roxana Reyes,Roxana Reyes,99242,15
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,94467,58
100686031576569,Primero la gente,Secretaría de Medios y Comunicación Pública,93403,4
110116998602195,Boletin No-Oficial,Boletín No Oficial,90858,36
