Location name,Amount spent (INR)
Andaman and Nicobar Islands,994
Andhra Pradesh,321552
Arunachal Pradesh,805
Assam,15226
Bihar,42226
Chandigarh,2229
Chhattisgarh,18865
Dadra and Nagar Haveli,1627
Delhi,116913
Goa,5043
Gujarat,63636
Haryana,48735
Himachal Pradesh,13671
Jammu and Kashmir,7987
Jharkhand,15486
Karnataka,388987
Kerala,11434
Lakshadweep,≤100
Madhya Pradesh,85883
Maharashtra,232892
Manipur,1716
Meghalaya,2644
Mizoram,590
Nagaland,1567
Odisha,16381
Puducherry,1170
Punjab region,33019
Rajasthan,105257
Sikkim,744
Tamil Nadu,46854
Telangana,94275
Tripura,2931
Unknown,≤100
Uttar Pradesh,121851
Uttarakhand,11209
West Bengal,74290
