Location name,Amount spent (PKR)
Azad Kashmir,1416
Balochistan,1590
Federally Administered Tribal Areas,419
Gilgit-Baltistan,612
Islamabad Capital Territory,2413
Khyber Pakhtunkhwa,9922
Punjab,45947
Sindh,11439
Unknown,≤100
