Location name,Amount spent (USD)
Azuay Province,579
Bolívar Province,115
Carchi Province,≤100
Cañar Province,134
Chimborazo Province,307
Cotopaxi Province,224
El Oro Province,758
Esmeraldas Province,431
Galápagos Province,≤100
Guayas Province,2842
Imbabura Province,291
Loja Province,347
Los Ríos Province,783
Manabí Province,1182
Morona-Santiago Province,116
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,113
Pichincha Province,1629
Santa Elena Province,321
Santo Domingo de los Tsáchilas Province,1147
Sucumbíos Province,108
Tungurahua Province,448
Unknown,≤100
Zamora-Chinchipe Province,131
