Location name,Amount spent (PLN)
Greater Poland Voivodeship,4597
Kuyavian-Pomeranian Voivodeship,2066
Lesser Poland Voivodeship,3378
Lower Silesian Voivodeship,3984
Lublin Voivodeship,1950
Lubusz Voivodeship,1423
Masovian Voivodeship,7344
Opole Voivodeship,1017
Podkarpackie Voivodeship,1531
Podlaskie Voivodeship,1075
Pomeranian Voivodeship,3839
Silesian Voivodeship,4758
Unknown,≤100
Warmian-Masurian Voivodeship,1556
West Pomeranian Voivodeship,4804
Łódź Voivodeship,2436
Świętokrzyskie Voivodeship,1113
