Location name,Amount spent (EUR)
Alsace,601
Aquitaine,1262
Auvergne,402
Basse-Normandie,437
Bourgogne,491
Bretagne,1025
Centre,910
Champagne-Ardenne,465
Corse,156
Franche-Comté,336
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,794
Languedoc-Roussillon,1200
Limousin,231
Lorraine,983
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1001
New Caledonia,≤100
Nord-Pas-de-Calais,1418
Pays de la Loire,1106
Picardie,641
Poitou-Charentes,644
Provence-Alpes-Côte d'Azur,2232
Reunion Island,≤100
Rhône-Alpes,2030
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4768
