Location name,Amount spent (MYR)
Johor,1651
Kedah,1476
Kelantan,571
Kuala Lumpur,2559
Labuan,≤100
Malacca,300
Negeri Sembilan,824
Pahang,376
Penang,1696
Perak,1322
Perlis,132
Putrajaya,≤100
Sabah,375
Sarawak,416
Selangor,8457
Terengganu,1379
Unknown,≤100
