Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,279
Bangkok,6427
Bueng Kan,≤100
Buriram,323
Chachoengsao,219
Chai Nat,≤100
Chaiyaphum,291
Chanthaburi,147
Chiang Mai,664
Chiang Rai,304
Chon Buri,1353
Chumphon,190
Kalasin,170
Kamphaeng Phet,145
Kanchanaburi,316
Khon Kaen,391
Krabi,349
Lampang,198
Lamphun,120
Loei,145
Lop Buri,189
Mae Hong Son,≤100
Maha Sarakham,204
Mukdahan,≤100
Nakhon Nayok,564
Nakhon Pathom,443
Nakhon Phanom,143
Nakhon Ratchasima,645
Nakhon Sawan,235
Nakhon Si Thammarat,533
Nan,108
Narathiwat,120
Nong Bua Lam Phu,≤100
Nong Khai,112
Nonthaburi,684
Pathum Thani,395
Pattani,157
Phangnga,≤100
Phatthalung,1014
Phayao,106
Phetchabun,201
Phetchaburi,142
Phichit,305
Phitsanulok,226
Phrae,119
Phuket,154
Prachin Buri,199
Prachuap Khiri Khan,137
Ranong,≤100
Ratchaburi,264
Rayong,304
Roi Et,285
Sa Kaeo,126
Sakon Nakhon,230
Samut Prakan,721
Samut Sakhon,202
Samut Songkhram,565
Saraburi,253
Satun,≤100
Sing Buri,≤100
Sisaket,306
Songkhla,441
Sukhothai,257
Suphan Buri,215
Surat Thani,757
Surin,318
Tak,134
Trang,499
Trat,≤100
Ubon Ratchathani,438
Udon Thani,305
Unknown,≤100
Uthai Thani,≤100
Uttaradit,109
Yala Province,132
Yasothon,108
