Location name,Amount spent (JPY)
Aichi Prefecture,27896
Akita Prefecture,2042
Aomori Prefecture,2295
Chiba Prefecture,27110
Ehime Prefecture,3054
Fukui Prefecture,1698
Fukuoka Prefecture,31059
Fukushima Prefecture,4427
Gifu Prefecture,5017
Gunma Prefecture,12725
Hiroshima Prefecture,6994
Hokkaido,16731
Hyōgo Prefecture,19265
Ibaraki Prefecture,7696
Ishikawa Prefecture,3552
Iwate Prefecture,3690
Kagawa Prefecture,2577
Kagoshima Prefecture,3759
Kanagawa Prefecture,50087
Kumamoto Prefecture,5780
Kyoto Prefecture,12128
Kōchi Prefecture,1543
Mie Prefecture,7186
Miyagi Prefecture,13941
Miyazaki Prefecture,2768
Nagano Prefecture,5611
Nagasaki Prefecture,4081
Nara Prefecture,3317
Niigata Prefecture,4631
Okayama Prefecture,5399
Okinawa Prefecture,5981
Osaka Prefecture,41613
Saga Prefecture,2428
Saitama Prefecture,25287
Shiga Prefecture,4290
Shimane Prefecture,1417
Shizuoka Prefecture,10608
Tochigi Prefecture,4966
Tokushima Prefecture,1662
Tokyo,81322
Tottori Prefecture,1280
Toyama Prefecture,2649
Unknown,≤100
Wakayama Prefecture,2521
Yamagata Prefecture,2319
Yamaguchi Prefecture,4888
Yamanashi Prefecture,4140
Ōita Prefecture,4678
