Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,653
Bangkok,21811
Bueng Kan,≤100
Buriram,319
Chachoengsao,466
Chai Nat,104
Chaiyaphum,193
Chanthaburi,223
Chiang Mai,3212
Chiang Rai,503
Chon Buri,2744
Chumphon,809
Kalasin,184
Kamphaeng Phet,141
Kanchanaburi,490
Khon Kaen,478
Krabi,436
Lampang,268
Lamphun,149
Loei,160
Lop Buri,231
Mae Hong Son,503
Maha Sarakham,218
Mukdahan,106
Nakhon Nayok,≤100
Nakhon Pathom,1159
Nakhon Phanom,214
Nakhon Ratchasima,742
Nakhon Sawan,780
Nakhon Si Thammarat,3618
Nan,105
Narathiwat,199
Nong Bua Lam Phu,≤100
Nong Khai,136
Nonthaburi,1047
Pathum Thani,825
Pattani,465
Phangnga,393
Phatthalung,629
Phayao,383
Phetchabun,181
Phetchaburi,904
Phichit,235
Phitsanulok,3137
Phrae,126
Phuket,5655
Prachin Buri,243
Prachuap Khiri Khan,295
Ranong,169
Ratchaburi,479
Rayong,469
Roi Et,251
Sa Kaeo,145
Sakon Nakhon,236
Samut Prakan,693
Samut Sakhon,448
Samut Songkhram,407
Saraburi,282
Satun,308
Sing Buri,≤100
Sisaket,412
Songkhla,2696
Sukhothai,143
Suphan Buri,292
Surat Thani,17208
Surin,288
Tak,238
Trang,645
Trat,≤100
Ubon Ratchathani,472
Udon Thani,384
Unknown,≤100
Uthai Thani,137
Uttaradit,122
Yala Province,273
Yasothon,207
