Location name,Amount spent (IDR)
Aceh,2145228
Bali,1728793
Bangka–Belitung Islands,522824
Banten,2942289
Bengkulu,800637
Central Java,12249510
Central Kalimantan,815241
Central Sulawesi,977260
East Java,17726815
East Kalimantan,1935191
East Nusa Tenggara,2341534
Gorontalo,1377430
Jakarta,5957013
Jambi,1262372
Lampung,4021835
Maluku,720673
North Kalimantan,248554
North Maluku,312775
North Sulawesi,2779219
North Sumatra,5187685
Papua (province),713799
Riau,2235752
Riau Islands Province,722522
South Kalimantan,1170030
South Sulawesi,3952849
South Sumatra,3416073
Southeast Sulawesi,616562
Special Region of Yogyakarta,2188017
Unknown,6813
West Java,12317944
West Kalimantan,1652438
West Nusa Tenggara,1871537
West Papua,366348
West Sulawesi,387043
West Sumatra,1239470
