Location name,Amount spent (PKR)
Azad Kashmir,1427
Balochistan,2197
Federally Administered Tribal Areas,473
Gilgit-Baltistan,799
Islamabad Capital Territory,8384
Khyber Pakhtunkhwa,13653
Punjab,54474
Sindh,18851
Unknown,≤100
