Location name,Amount spent (CLP)
Antofagasta Region,134390
Araucanía Region,181118
Arica y Parinacota Region,52381
Atacama Region,44937
Aysén Region,31814
Bío Bío Region,408737
Coquimbo Region,164986
Los Lagos Region,148856
Los Ríos Region,76055
Magallanes y la Antártica Chilena Region,29760
Maule Region,178358
O'Higgins Region,142237
Santiago Metropolitan Region,1699132
Tarapacá Region,68410
Unknown,144
Valparaíso Region,361204
