Location name,Amount spent (DKK)
Capital Region of Denmark,46790
Central Denmark Region,25401
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12226
Region of Southern Denmark,24731
Unknown,≤100
Zealand Region,15478
