Location name,Amount spent (JPY)
Aichi Prefecture,37596
Akita Prefecture,2283
Aomori Prefecture,3732
Chiba Prefecture,27778
Ehime Prefecture,5682
Fukui Prefecture,3219
Fukuoka Prefecture,48059
Fukushima Prefecture,5700
Gifu Prefecture,7564
Gunma Prefecture,6109
Hiroshima Prefecture,12851
Hokkaido,19188
Hyōgo Prefecture,27854
Ibaraki Prefecture,20524
Ishikawa Prefecture,5301
Iwate Prefecture,2911
Kagawa Prefecture,4569
Kagoshima Prefecture,5166
Kanagawa Prefecture,63308
Kumamoto Prefecture,8827
Kyoto Prefecture,16004
Kōchi Prefecture,1698
Mie Prefecture,7724
Miyagi Prefecture,13077
Miyazaki Prefecture,29555
Nagano Prefecture,7466
Nagasaki Prefecture,6902
Nara Prefecture,5385
Niigata Prefecture,6389
Okayama Prefecture,7775
Okinawa Prefecture,10641
Osaka Prefecture,54319
Saga Prefecture,4594
Saitama Prefecture,28595
Shiga Prefecture,6146
Shimane Prefecture,1922
Shizuoka Prefecture,14147
Tochigi Prefecture,7125
Tokushima Prefecture,2422
Tokyo,126545
Tottori Prefecture,1667
Toyama Prefecture,3320
Unknown,≤100
Wakayama Prefecture,4490
Yamagata Prefecture,2716
Yamaguchi Prefecture,5056
Yamanashi Prefecture,3001
Ōita Prefecture,7526
