Location name,Amount spent (CHF)
Aargau,106
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,≤100
Basel-Landschaft,≤100
Bern,145
Canton of Geneva,373
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,≤100
Fribourg,≤100
Graubünden,≤100
Jura,≤100
Luzern,≤100
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,174
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,225
Zug,≤100
Zürich,1599
