Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,537
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,116
Dohuk Governorate,≤100
Erbil Governorate,192
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,150
Nineveh Governorate,≤100
Saladin Governorate,≤100
Sulaymaniyah Governorate,197
Unknown,≤100
Wasit Governorate,≤100
