Location name,Amount spent (COP)
Amazonas,650
Antioquia,5776208
Arauca,27123
Atlantico,1138388
Bolivar,272108
Boyaca,115878
Caldas,397018
Caqueta,98968
Casanare,28724
Cauca,210407
Cesar,65838
Choco,52244
Cordoba,225755
Cundinamarca,354410
Distrito Especial,1523577
Guainia,625
Guaviare,4104
Huila,376991
La Guajira,27334
Magdalena,367046
Meta,370336
Narino,75416
Norte de Santander,664455
Putumayo,45535
Quindio,93602
Risaralda,1013766
San Andres y Providencia,3085
Santander,819580
Sucre,63221
Tolima,571789
Unknown,≤100
Valle del Cauca,3681065
Vaupes,392
Vichada,910
