Location name,Amount spent (EGP)
Al Sharqia Governorate,3662
Alexandria Governorate,4194
Aswan Governorate,603
Asyut Governorate,1390
Beheira Governorate,2087
Beni Suef Governorate,915
Cairo Governorate,8585
Dakahlia Governorate,4027
Damietta Governorate,1036
Faiyum Governorate,1013
Gharbia Governorate,2991
Giza Governorate,2459
Ismailia Governorate,764
Kafr el-Sheikh Governorate,1728
Luxor Governorate,393
Matrouh Governorate,218
Minya Governorate,1479
Monufia Governorate,2265
New Valley Governorate,179
North Sinai Governorate,249
Port Said Governorate,508
Qalyubia Governorate,2197
Qena Governorate,959
Red Sea Governorate,370
Sohag Governorate,1515
South Sinai Governorate,132
Suez Governorate,415
Unknown,≤100
