Location name,Amount spent (VEF)
Amazonas,117502
Anzoátegui,3944178
Apure,562346
Aragua,4809621
Barinas,3503000
Bolívar (state),4764113
Capital District,12618333
Carabobo,7655744
Cojedes,251500
Delta Amacuro,182503
Falcón,1054627
Guárico,942625
Lara,4744692
Miranda (state),3866952
Monagas,504500
Mérida,1342632
Nueva Esparta,250000
Portuguesa,837015
Sucre,684012
Trujillo,761113
Táchira,5343703
Vargas,1253000
Yaracuy,1093519
Zulia,10791725
