Location name,Amount spent (COP)
Amazonas,723
Antioquia,3841310
Arauca,7845
Atlantico,307879
Bolivar,191446
Boyaca,43504
Caldas,95592
Caqueta,37158
Casanare,11258
Cauca,162887
Cesar,95705
Choco,14870
Cordoba,146681
Cundinamarca,288586
Distrito Especial,1229813
Guainia,540
Guaviare,2718
Huila,136298
La Guajira,23515
Magdalena,63804
Meta,92977
Narino,62142
Norte de Santander,613278
Putumayo,20005
Quindio,81251
Risaralda,595520
San Andres y Providencia,3683
Santander,150111
Sucre,34741
Tolima,215021
Unknown,166
Valle del Cauca,1666246
Vaupes,444
Vichada,681
