Location name,Amount spent (MXN)
Aguascalientes,5296
Baja California,21238
Baja California Sur,2483
Campeche,5575
Chiapas,12106
Chihuahua,22422
Coahuila de Zaragoza,15748
Colima,9031
Distrito Federal,194218
Durango,4714
Guanajuato,33326
Guerrero,8206
Hidalgo,10005
Jalisco,69621
Michoacán de Ocampo,21050
Morelos,6084
Nayarit,5557
Nuevo León,54732
Oaxaca,8338
Puebla,15773
Querétaro Arteaga,21122
Quintana Roo,10860
San Luis Potosi,13896
Sinaloa,7689
Sonora,11307
State of Mexico,72603
Tabasco,10259
Tamaulipas,13009
Tlaxcala,3369
Unknown,≤100
Veracruz,24758
Yucatán,18906
Zacatecas,4231
