Location name,Amount spent (VEF)
Amazonas,875
Anzoátegui,261852
Apure,≤100
Aragua,890213
Barinas,69163
Bolívar (state),89641
Capital District,1105929
Carabobo,2227057
Cojedes,41458
Delta Amacuro,≤100
Falcón,102126
Guárico,975
Lara,178919
Miranda (state),267746
Monagas,≤100
Mérida,117359
Nueva Esparta,2623
Portuguesa,89725
Sucre,634
Trujillo,66227
Táchira,358452
Unknown,≤100
Vargas,9766
Yaracuy,≤100
Zulia,3431590
