Location name,Amount spent (CAD)
Alberta,7014
British Columbia,7548
Manitoba,2098
New Brunswick,914
Newfoundland and Labrador,1419
Northwest Territories,≤100
Nova Scotia,1348
Nunavut,≤100
Ontario,19729
Prince Edward Island,125
Quebec,12064
Saskatchewan,3486
Unknown,≤100
Yukon,≤100
