Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,874
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,3792
Montevideo Department,17172
Paysandú Department,8608
Rivera Department,≤100
Rocha Department,164
Río Negro Department,180
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
